image,image_class,text
image_0794.png,0,"nairo |.Bis {NBIFO Institut fiir biologische Forschung GmbH.Vertragsforschung.DEPT. BC.Rion ease) 203982.‘Blox 289 200362.Ree Aare bid.Dresdner Bank AG Koln.Fo 9922 741 Uz 57080040).Slaclspatasse Kain..Sorazise uz sroso19e).Posechocs Kain..ee iSb0 82-504 (LZ 37010080).“RRGIFD institut Wr biologische Forschung FuggerstiaGe 3 0.5000 Kéin 90..Dr. A. Swart:.Dept. Biological Toxicology..TNO-CIVO Toxicology and Nutrition Institute.P.O. Box 360.VB1335/AZ-HE.zai 08, Oot-89.ben HEM / MAO.UneerZeichen 3134 TNO «LET.pwr.NL-3700 Ad Zeist.The Netherlands.Sr iks |}.Koin 28-Nov-89.qy.e.: Lung function determinations for the INBIFO study P 0500/3136.‘and the CRC study B6005.aay.Dear Doctor Zwart:.hank you very much for submitting your preliminary reports fo URC.Thank Vero reyarding the lung function determinations carried out..and Te above mentioned studies. We discussed both reports and..jn ld like to make the following comments..with xegard to the determinations of tidal volume, breathing ffe°..Yaency,Jand ventilatory flow, we vould like not only, a, tabutarton..quency, onfues and standard deviations but also a tabulation of..oF meatividual data for each of the rats. This is in accordance..the igEp guidelines and would allow us to perform our own statis—.Heat evaluation on these data. A detailed ‘discussion of assumed..tie ees would be helpful, We would ask to include a discussion of..outtigiovance of the physiological data obtained in view of the...thenounced restraint of the rats while the measurements were being..Fade..We are not quite sure about the exact definition of the present.We are not tthe numerator of the term describing the transfer in~.Yelance. For example, in your paper coauthored by B- Oostveen (a).PRe*bressure difference between thorax and mouth seems to pe neant.poe ere ot the pressure delivered to the thorax as stated in a.feeent TNO newsletter (b)..<2 &.nN..sasured by the Forced §.as Measured in Awake Re- 8.s, Toxicology Tribune 4 8.‘ede Gasetacat Kon HR 8 267,28, Ona D..te der Genera: nH 8207 22. 06008 Es OD).-2-=—.Ya) Transfer Impedance of Avake Rats Measured by the Forced.Oscillation Technique, in press.(b) Sonvacts bung Mechanical Properties Meagured in Avake Re-.strained Small Experimental Animals, Toxicology Tribune 4.1988.(1988) ‘ete der Gesetachalt: Koln HR B 967, 2. OMtober 1959.(08s.me.4.oi."
image_0757.png,0,"Aqua L “Risa.2} 30/48.Ro).SMEy.PHILIP MORRIS.‘U.S.A..120 PARK AVENUE, NEW YORK, N.Y, 10017-5562 TELEPHONE (212) 880-5000.March 26, 1998.Mr Eric Loughmiller.Executive Vice President, Chief Financial Officer.May & Speh, Inc..1501 Opus Place.Downers Grove, Illinois 60515.Dear Mr Loughmiller-.‘This letter constitutes the agreement (the ""Agreement"") between Philip Mortis.Incorporated, a Virginia corporation with executive offices located at 120 Park Avenue, New.‘York, New York 10017 (""Philip Morris""), and May & Speh, Inc., a Delaware corporation.with executive offices located at 1501 Opus Place, Downers Grove, Illinois 60515 (""May &.Speh""), pursuant to which May & Speh will render services for Philip Morris in connection.r ) with Philip Morris’ proprietary and confidential Direct Marketing and Consumer Affairs.databases (the ""Databases"")..l_—scServices..May & Speh will perform the following services in connection with Database records..(a) __ perform National Change of Address processing, including carrier route.coding, ZIP code correction, addition of ZIP code +4 and address standardization;.(b) perform Address Change PLUS processing,.(c) perform Locatable Address Conversion System processing;.(@) perform TotaList processing, including file enhancements of area codes,.telephone numbers, apartment numbers and first names;.(©) append TotaList addresses; 8.&.(f) perform address expansion; Es.3.(g) create output tapes meeting the specifications, and containing the information,.oe designated by Philip Morris;.(e) append TotaList addresses,.(f) perform address expansion;.‘MARLBORO BENSON4 HEDGES MERIT VIRGINIASLIMS PARLIAMENTLUGHTS PLAYERS SARATOGA CAMBRIDGE ALPINE MULTIFILTER."
image_0395.png,0,"fa) Re fer pos.CG.NOC.Ne.(sR).jae.R.J. REYNOLDS TOBACCO COMPANY.WINSTON-SALEM, NORTH CAROLINA 27102.October 31, 1967.WINSTON-SALEM, NORTH CAROLINA 27102.October 31, 1967.f.F.Tr.DM-FF-G.TO OUR DIVISION MANAGERS:.Beginning November 6,_1967, and terminating.December 8, 1967, you and your salesmen are to make to.‘the trade the WINSTON SUPER KING BOX Display Offers.specified by the attachments to this letter..r.As with all display offers made available by.us, these offers should be made known and available to.all retailers and vendors promptly, and as nearly simul-.taneously as possible..iq.rk.We believe you will welcome this renewal of.the WINSTON SUPER-KING BOX Display Offers and will.follow through with your salesmen to insure maximum.sales, distribution, and displays -- for outstanding.test market results in your Division..Z.'.f.R. J. REYNOLDS TOBACCO COMPANY.1.‘.a.3.x.i.j.1.i.i.i.=.3.$..."
image_0427.png,0,"c.0.P.TY.Dr. Murco HN. Roegholt.Baarn 2h<9+57.cargecn.Wittelaan 15.Baarn (the Netherlands).To Dr. Sidney S. Negus.Director of Public Information.Medical College of Virginia.‘Richmond, Virginia.Dear Doctor Negus,.Having retired from active practice I have renewed my research on.smoking and cancer of the lung. For my investigations I need a rather.large quantity of cigarette-butts of cigarettes of 7 cm length. If.possible of various offices. Could you send then to me? Weedlecs to.remember you my investigations of 1953 and of our letters. One of xy.points 4s that the mmber of cigarettes that ere sold is not a proof.of the quantity that is smoked..The general impression is this country and in England is that the.general opinion has changed in a very bad trend for the cigarettes..‘My opinion is thst those who fight smoking are the ones who publish.their convictions like :prephets in their faith, Those who are not.convinced are to lazy tc write a paper..I make now an article (paper) including America, England, Germany,..the Scandinavian countries and France if here there are reliable statistics..I judge that I have then data on some 300 millions of people, And that.then I will be in @ position to read « paper for a conference of the.Netherlands Cancer Institute. And atterverds to publish it in a periodical.I can choose later..T do not deny that there are papers which are very dangerous for the.cigarettes. That is 2 reason that I take the liberty of asking your.cooperation..Sincerely,./S/ Drs My Ne Roegholt.Wittelaan 15.Baarn - tel, 0295-11."
image_0552.png,0,"in.GALLAHER LIMITED.nO aaa.g HINGEWAY + LONDON + WC2B 6TO.ra OP vnsconwe oitroene vonsen wer reser tenon.fe CH Steuart Lookhert.any..Vestnineter House..7 RiI}benk..London...SUIP SIE.sy sili,.Vien haw I Uf ewe.ee on..Jython ye.Dear Kit.‘The results of the iret METRA study on the relationship betucen.Advertieing Expenditure ond Totel Consumption in the United.Kingdon ie noeely conpiated und ulll bo available to be used..by the induetry in the eocond half of October..reese de cotone end ohind the Tron’ Gurtein will “teke 1c.countries in Curope ond baling the Tren Curtain will take longer.fond because of loss sdequate dotatled date ney vell prove.inconclusive ulthough they will to sono extent support the..wh etudy..Rosponsibility for initiating thie study, providing ite duta..fof naneging 4¢ and even more the subsequent uso of the report |.to influence the Conmiseion Governments end informed opinion hes..boon wivides betueen e nunber of organieetione, conpeniee end.Andividuels in the induetry..1 folt the right anover ves for me, efter consultetion with.Yea loos of Inporial end taking account of the vious of tho.Leet CEC Coneurerion Uorking Party, to put forudrd « paper.proposing a coures of action vith en epproximate tinctable..fo you as Cheirnen of IOS! Executive conrittes vith copies..to 221 those Involved..Provided tho proposele sre eccepteble, 1, ae @ member of the..Interim Office, vould eneure thet the progremme uae implenented..‘My proposels ere based on the folloving judgements:.1 That uhen the METRA study is completed and the report.Hnetieed, st ull be of good quality end of significant.Interest to expert opinion, t..2 Wilde St fe cloar thet the NETRA conclusion that there Le.no significent aseociation inthe Uf, betveen advertising ..Gxpongsture end totel cigerette eng hand tolling consumption.UIN""bo sttackes, the HETRA study will be able to stend up.to buen attecke and to dotadied scrutiny. 2 |.Contd ...&."
image_0036.png,0,"ae.ne |.oe.f.Awe.¢.¢.§.io].WAVY.MESON POEL COMET ORE ETON.LEROWN & Waa s.«7.a.April 3, 1974.oa.yar?.Mr Charles Wiley.e/o Allen-Martin Productions.9701 Taylorsville Road.Louisville, Kentucky 40299.Dear Mr W ley’.‘This is to confirm my request that you arrange to print for VICEROY,.four ful) ASI ads for Time-size kcylines, We will need ycur quote by.4/10..1. Ad Descript.on.A. Names an¢ Numbers:.a. 'Flyirg Car Mortise” ~~ V-MG-74 IL.2) ‘Blurred Car - Mortise""~ V MG-74 12.3, ""Gold Trophy Mertise""- V-MG-74-13.il ""33 Drivers = Mortise” - V-MG-74-14.B. Pleasc include the following information on these ads..1. Ad Naine.2. Ad Number.3 © Mapazine.Y  Quant-ty requirements and specifications:.c=}.e.Ba.eo.3.al.806 conies cach cn 30% Patina.7"" x 10"" printed or stock.12 1/2"" x 16"" (lin and.23"" x 20"" (uax.).MM. Timetabe.First Proof - 4/12.Complete = = 4/17.Ads toL.A. - 4/19."
image_0535.png,0,"—af.THERAPY AIR SUPPORT SYSTEMS INC..19912 PONDEROSA UNIT H.SANTA ANA CALFORMIA 2701 USA.TEL 17145862000,.Fac tesa).TUK 106 TAB TRUER IO.4-16-94.To: President Bill Clinton.Rep.Henry A Waxman (D-CA).Rep.Thomas J Bliley Jr (R-VA).“James W Johnston (R.J.Reynolds).William Campbell (Philip Morris)..Andrew H Tisch (Lorillard).Edward J Horrigan Jr (Liggett).Gentlemen,.Smoking vs Not Smoking.I attach a copy of the letter addressed to the Editor of the LA Times..Why not set up an independent study along the lines suggested(page 2)?.Only given such findings can we all have a credible basis for assessing.the overall benefits of not smoking/giving-up cigarettes/cigars as.compared to smoking/continued smoking..BILL ROSS.President.BR/mc.Enc..o.8.MORE EFFECTIVE THERAPY BEDS/SYSTEMS AT COMPETITIVE PRICES."
image_0534.png,0,"Guu._.Southern Illinois.University at Carbondale.Carbondale, Illinois 62901.Department of Psychology.15 December, 1987.John H. Reynolds, Ph.D..Biobehavioral Research and Development.Bowman Gray Technical Center.R. J. Reynolds Tobacco Company.Winston-Salem, NC 27102.Dear Dr. Reynolds:.Enclosed are three copies of our progress report outlining the research we have.conducted so far on our project entitled Evaluation of an Overdose-Toxicosis.Model of the Capacity of Nicotine to Release Neuromodulators..Experiment 1 is completed, the general findings have been presented at the.annual meeting of the Society for Neuroscience, and a manuscript is in.Preparation. Experiments 2 and 5 have also been completed and the preliminary.data are presented here. The quantified smoke delivery system has been.substantially improved and is in use in Experiment 6 which is currently under.way. A summary of the initial findings from that experiment is also part of.this report. In our judgment we are on schedule toward completion of the.project at the end of next year..With this letter and progress report we are applying for renewal of funding of.our research project for the second year. A slightly revised budget is.enclosed. The budget revision requests a change in funding from 75% to 100%.effort for Dr. Meliska. The original intention was that he would teach one.course at SIU each semester during his leave of absence from Monmouth College..However, the work load on this project has been substantially greater than.anticipated and some of the promised teaching opportunities did not materialize.due to reduced appropriations by the state to the university. Therefore.additional funds ($6,102 plus $591 fringe benefits) are requested to bring his.salary into line with the effort that he is actually devoting to this project..‘Thank you for your continued support of our research effort..Sincerely, w.3..4 / hon 8.A lig — (Ce | Mk se *..Robert X. Jensen, Ph.D. David G. Gilbert, Ph.D. charles J. Meliska, Php..AssocjAte Professor Assistant Professor Professor ’.3.Professor.ence.."
image_0050.png,0,"ee Aorta, Beas Re oy ory.Be eae OE Soe TAKES.«Rel.p.PHILIP MORRIS.o.ULS.AL.(RESEARCH CENTER: P.O. BOX 26583, RICHMOND, VIRGINIA 23261 TELEPHONE (804) 271-2000.pie August 17, 1979..ee Jo De. S. J. Feinhandler ee.Boy govene, Social Systems Analysts..Rate ecwEN 2 Calvin Road ig.BS a = 32° Watertowm, MA 02172 id ain ee.“te 2S “Dear Dr. Feinhandler:..‘eg: BEER“ gnelosed are two Philip Morris checks in payment..saw g0f your invoices dated August 2, 1979:.ee os na.“© Consulting services, July 1-31, 1979 $3,982.00.._ lef gh” Work on Project-studies, July 1-31, 1979 $4,484.70.August 17, 1979.ER.we... # ea 28.Ser MERA.$3,982.00.$4,484.70.~* e -""s Cross-cultural study, July 1-31, 1979 $4,365.00 ..) Bae >. Li.fe SS"" Remaining balance for 1979: $54,153.52 . ‘.ee a Sincerely, Pt ee.pene : wo dase.RUEREDERREDE GY Mphign > ' ° ae.pe orgy st hd Fae J. thay es.ee es 2 Karol 6. Sharp *y “Nd eee.See gee Eitan Seeretaty to Dr. . Wakeham 4 /-e.His ee SHEEN Eth of Mert aL WR gtr eg tse Wei.ro at Alea aC SE Mn rele i ten Mien a eee fe.TABS miclosures ee clo! RATE ti erg a ay.BS hs aan: iad ohne.ee ees.” uae or He oan.Rea ok tn | 4 i a eee.ee (Cee ea aa oo nd # 4, I : Sin EER.ARSE RE IS 0s “ re 8 one.BRAGS Gs mo oh.se GE a ’ at nha Es 8 cd.$4,365.00.fe nc.Sincerely,.ae.i dia wm, OS,.MARLBORO BENSON & HEDGES PARLIAMENT VIRGINIASLIMS MULTIFILTER ALPINE SARATOGA PERSONNABLADES."
image_0722.png,0,"Wy 7.QO syaniosph ctor o>, em.ra 31 Dawson Avenue.West Haven, Connecticut.USA 06516-6409..October 15, 1995.‘Council for Tobacco Research Grants-U.S.A., Inc..Attn: Research Director.900 Third Avenue.New York New York.USA 10022.‘To whom it may concern:.{am {ger surger resieljompleting my second year feline taining At Yale Univesy in June.of 1996. Tama US citizen, and a graduate of the Faculty of Medicine at McGill University in Montreal,.(Canada, Thave arranged to spend three years studying and doing fll time research in the subject of.‘immunology at The University of Oxford in England, starting July 1996, This time will be used in order.to develop the skills necessary to become a competent investigator. At the end of those three years, I will.‘return to complete my surgical residency at Yale University, and hope to be accepted into a Cardiothoracic..Surgery Fellowship. My goal asa cardiothoracic surgeon i to participate not only in the education of.‘future physicians and surgeons, but somehow to contribute to the science and practice of medicine for a.lifetime. __ et _.‘During the three years, I will spend away, I will no longer receive my salary, and therefore I am searching.for alternative sources of funding, Please send any relevant information that you may have concerning the.program entitled: Council for Tobacco Research Grants. Also, please send an application for the next.period for which Iam eligible to apply. My costs will be varied, but include a stipend, travel expenses,.‘possible research costs, and a site visit which I am expected to make in the early part of 1996 before.‘actually arrive in England in July of 1996..Iwill be working in close contact with Kathryn Wood, D. Phil., under the direct supervision of Dr. Peter.J. Morris in his laboratory at The University of Oxford. The chairman of my residency program at Yale.University is Dr. Ronald C. Merrell, and he has given permission for me to go for three years..Enclosed with this letter you will find copy of my curriculum vitae. I hope that it will be of assistance to.‘you. Feel free to make available a copy of this letter and my curriculum vitae to any other appropriate.Sources of funding Please use the above address for any further correspondences, or I may be reached at.telephone: 203.934.8834..‘Yours sincerely,.BS#S =.Bryant Joseph GILOT, M.D., C.M.."
